p1_0,p1_1,p1_2,p1_3,p2_0,p2_1,p2_2,p2_3,an_event
27017,28547,18384,22814,2753,28015,29959,7469,-2893071188
24973,18869,24322,2676,24540,22625,12402,6037,-263780564
16410,25671,29674,9012,13412,15022,32581,25139,-2717835099
5962,17418,13268,26671,7574,2781,23541,13150,-1332732787
30281,7766,19011,31997,32227,10475,20491,11069,301539423
7675,11544,8799,31868,10712,14430,22365,11088,-1269071095
6290,3399,11668,28156,11161,10169,28269,8174,-1048757276
21555,24605,22840,4734,23302,25624,28962,2121,-1599524215
29676,21643,24845,22076,13373,27906,25913,10166,-2150701930
6931,3520,32421,20857,7347,14861,26273,22240,-2634111146
12137,22443,16217,4813,18215,32161,27279,1736,-1902949673
12951,1059,10959,11252,2991,23532,27498,1221,-602577013
31592,10644,21726,27712,15475,26014,8213,31767,-1693567799
28593,8535,17558,17252,23747,6782,29013,18907,-429011449
2591,11790,19890,19251,27471,9456,21476,10567,-1341806088
2327,28322,12993,19900,32499,9306,15237,13365,-1303782469
1189,5666,23820,12096,23754,1822,7214,8012,-501708579
23551,21318,4676,18298,9492,25121,21281,5710,-1031974395
27779,196,32633,7023,22512,27795,4695,16133,706790244
24575,23993,24317,2579,16725,15755,28594,24356,-1450296240
32188,4134,9283,7532,18237,9595,17899,18001,491167011
23845,6195,5090,1101,1851,28244,1328,17008,-312672566
19016,27378,31190,17532,9154,32401,1368,31825,-2627268610
28390,13525,9396,4788,29569,20785,23035,18444,507159254
23076,17382,2674,4756,13887,8878,5265,8832,220101706
3948,898,2097,11986,19408,10468,2165,6512,-30780856
9110,29620,31893,6663,18233,19671,11580,5044,-1638990680
29797,26611,4721,5785,24859,22680,19779,23874,-188619952
29510,15624,29929,3659,9394,30408,19047,10341,-1611572024
73,23327,32030,7932,15224,15478,5160,24839,-1444527147
448,7542,19898,5303,3945,21802,24423,11303,-1417172326
23759,26718,2930,19142,3726,15477,30213,8405,-1148857762
4662,2520,7312,27905,7392,9600,17784,1303,-312313408
2027,7714,26379,5945,9641,30260,12871,4483,-1160173602
31592,15466,480,9766,28342,327,7872,13925,1501062900
29811,32703,301,22688,30290,2315,26995,7348,1304837823
3006,21287,17638,23112,2353,12589,26142,8813,-1851424986
10061,10307,27645,17525,692,27930,26579,32673,-3176605188
17265,24169,29113,31369,7110,6829,20923,27913,-3054081789
28595,21731,11557,5567,8920,25079,3848,18906,-879293283
7167,19112,11426,5451,6343,29980,13960,20583,-1598474390
13577,8178,10758,16808,30111,11214,20104,5684,10568432
30175,16310,23015,25825,5137,2932,16005,19002,-1503845497
4599,21563,32297,14373,14721,10750,16398,17666,-1895246221
14054,15264,20927,8500,1219,24321,21472,22787,-1994328876
191,31650,5008,30795,29366,6299,12905,29101,-2309111007
930,24641,9949,11832,87,12059,21518,3427,-1103449263
30328,6015,8984,11955,16038,26727,22233,27581,-407724513
345,3156,27804,4480,18895,4103,3519,6873,-270176261
28144,19141,9069,5785,32050,11553,16018,7754,981476474
14156,31184,13207,17105,15913,26891,24353,31248,-2938908833
24904,16382,28348,12463,14872,14853,16800,26353,-1355277051
15813,31719,17395,4674,12886,26289,13014,30676,-1999715980
14905,8558,29708,20875,22987,29577,25756,27165,-2485480211
6686,26696,22258,26058,12376,20724,13002,4796,-1769782656
23892,5042,3673,31942,22330,28637,5539,27559,-1023061058
11775,27802,17486,10895,9204,4470,10693,26456,-982271485
26757,2555,15440,11657,11647,29189,32435,25366,-1118899926
5087,6828,17755,8998,7890,27775,8821,4208,-688028414
1895,8070,27839,25574,2748,27650,25404,11380,-2432382092
17262,2848,22969,3199,19728,3447,24951,9479,-545398979
1277,6728,11044,1213,31303,13851,16760,32739,-556092851
2680,19169,12110,14305,29513,9629,19312,23510,-1351365272
9205,16893,21111,28514,23544,27753,1280,15117,-1420380769
2241,16257,10389,16366,5175,30458,13751,4429,-1397831738
3773,11479,25717,2267,17486,4474,11632,23354,-674961280
32368,7662,19391,4689,26424,23129,63,15109,1212003225
22002,30344,2883,4709,27889,26284,6005,26365,-650872871
3174,2536,10694,14942,1705,8556,23292,2281,-598943224
7702,11225,32532,17587,3985,25160,21959,9483,-2265763613
14943,30636,19204,8349,23071,14245,21837,6807,-1135717158
1663,6850,30157,17228,29106,2106,7179,17101,-954292778
6415,22741,29574,12279,12884,13726,27870,14909,-2473602568
23956,5756,15842,5454,130,25821,18757,24234,-1149719152
11725,12670,12006,8563,4556,24257,16264,21541,-1267290850
31908,12393,18776,17721,4843,25968,25856,26136,-2231885193
24852,22196,23987,15174,29099,24237,25532,15425,-1322631902
29680,12468,28027,31692,30507,31536,22957,23119,-1727718620
17276,5542,1324,2988,3533,14865,21700,9230,-155352334
22488,10180,16887,16376,929,26533,21979,17717,-1821048649
20693,17280,9985,29429,23576,21306,19612,21881,-1440166732
4731,25284,20831,4186,5323,32477,1378,20311,-1819405579
29943,2651,17393,26433,22563,2730,21175,31743,-1078040491
4082,16637,5985,29522,15267,8985,3510,12078,-929501166
9030,30110,28251,7651,22435,1624,5195,13796,-197293804
747,5194,24864,957,24582,18506,15190,23921,-956717735
8199,3456,30747,11662,14725,28716,22420,16228,-1714261293
19958,5331,6091,5002,3103,6392,8934,5229,-105469778
30,4092,22011,16824,5050,30735,9252,14481,-1145818045
11948,25952,25219,22172,12345,9662,8988,15432,-1344189208
28140,15155,16664,18608,23076,1669,25552,26799,-600865643
13894,30577,12972,32101,20903,28038,2817,2212,-1348902164
5507,19463,13696,24426,6107,10848,25934,31319,-2595408742
9645,26370,31389,21028,22192,32072,21676,12125,-3134146641
3196,11734,20613,26744,8197,21181,13968,21359,-2162987916
19408,16425,26313,6379,2381,1909,22843,22801,-1463354397
26657,18424,794,8449,27412,24461,21361,13003,306433523
6234,5141,6669,27037,23250,27575,8459,18498,-1106787487
12740,14040,2489,30730,25713,25715,4518,10694,-746698611
6633,18021,8572,29914,16266,875,3471,12065,-597094033
552,1666,7811,12316,30104,29241,16168,8364,-522811874
9944,14565,11226,19086,31621,23757,17688,21808,-1292795725
4692,23817,2974,3202,28213,1742,16456,32631,-125117939
14518,21586,26232,21910,6450,4953,4171,5171,-471997245
15342,21856,13904,31547,1262,4586,12782,23294,-1986934957
7650,5996,32280,6187,29046,1294,11515,17475,-530793095
6015,23008,17709,4948,23320,25897,23529,18409,-1926677467
26499,19142,16737,28687,21173,3283,29705,27699,-1587132501
22100,19700,17989,21237,7112,5452,330,12259,-433031743
15388,28884,21745,15057,19285,29875,13186,13554,-2113951536
23101,23569,30608,14969,17403,3829,3980,12156,15948437
14304,28387,14331,18095,5189,13821,21024,30810,-2353843721
22899,369,25802,24770,23934,13458,22904,26168,-1392149260
4018,3033,7301,25266,1734,19680,24453,9436,-939371033
10836,16123,14782,18737,18460,28744,18656,3698,-1216996890
7493,29465,29794,18007,1152,25055,14884,15550,-2906201954
28898,23568,18439,23280,12782,29084,4015,32364,-2287116560
26119,6498,24829,29538,7013,24207,6545,17896,-1330519217
6838,11585,16123,9231,10334,17973,1495,16826,-633978421
22853,1625,23401,32283,15297,29493,32166,3859,-1151327153
19800,4006,12435,18927,21200,24098,13197,6511,71745030
11504,26708,3014,25794,18853,13708,20664,14532,-1172712555
2560,28714,22356,30449,4482,20833,22673,25222,-3723229111
3920,40,26607,19222,2342,26895,20994,15655,-1702818269
13084,31881,2548,26385,28267,9218,20450,5689,-252502790
8766,27115,5955,17813,28609,24951,12955,13246,-1477726184
14260,15802,31811,26658,13175,15292,11630,4207,-1071783187
32621,9240,14662,17574,24260,31005,17180,11714,94259834
7911,20537,25521,22999,25040,9607,17560,14522,-1562739833
29776,30251,137,8728,11587,27640,6116,17579,-1290795120
17007,16569,6914,28169,29169,13500,22629,14093,-562134910
22376,26719,23253,8523,3365,20248,20243,8309,-2014507498
18046,9247,32313,23983,28205,2988,4667,22148,-401271125
9170,32263,10547,3053,27834,19175,32561,23801,-1559015070
3542,32472,8489,13348,8823,16536,32312,4792,-1687962020
957,26733,4917,32072,14826,20962,18216,10092,-1918858335
23231,31689,23566,5697,29403,25662,1963,1987,-375477286
11335,10322,32073,13509,22022,23903,23278,22247,-2088496561
12688,14876,22572,17807,8388,6376,30292,29010,-2377530921
31414,4196,26225,16365,3488,2626,7604,23248,-962659916
12395,26290,6922,6200,4407,27600,21094,3268,-1674538318
6610,20259,5701,17606,26596,20739,7607,20192,-1286466538
5993,11309,25412,19557,20980,8687,17490,6955,-1105983293
17638,23003,7982,29863,31730,15669,11030,25199,-1282713346
13468,12933,3159,32697,25824,17702,29784,9292,-558160385
24771,14585,22880,22002,29080,23357,2913,20071,-257195703
8297,4944,2912,30996,31108,289,20742,2755,221733353
4611,15581,26554,2094,1961,20670,16006,8638,-1512291975
29771,26324,30379,4573,22935,2644,28862,3454,-558835190
29500,12134,16211,16905,7436,19026,32471,32700,-2181391251
28566,5969,29835,10335,23557,16601,26930,29293,-1064734796
28332,3214,12956,21518,26562,11019,16459,12829,455667349
10570,12213,651,29673,10516,22623,10762,17543,-1385438911
31572,10419,12367,18131,20447,21802,4724,2347,634834947
590,26530,14820,26756,20452,14499,9971,12849,-1728338697
27924,12994,12182,16855,24517,28628,23309,32173,-1027229952
9220,9245,22911,30033,29671,9240,21779,24415,-2088218396
13918,21552,26438,15265,30403,11440,90,21043,-294031587
31167,8504,2169,2364,6250,22079,2413,3506,-13018168
697,3507,8670,3479,9922,14395,32257,6995,-695182688
10116,26756,11612,31864,3506,3333,25337,5633,-1054866791
5570,22759,10921,26062,16727,676,32215,1087,-604745669
25268,15882,21543,3535,9462,22076,2693,390,-341870881
32529,5974,16553,5196,13638,12885,25313,31341,-430420461
15661,27014,21976,11072,5862,25386,31959,23684,-3117098440
2405,19725,12450,26943,19893,22581,27676,32750,-3249043307
21169,1679,10663,24613,32677,168,4300,32173,-292547532
16246,20703,28525,15972,28099,4883,17428,15302,-772283574
13608,25620,6369,1515,6337,19495,3575,16884,-923178719
16328,878,3955,24678,15671,10370,12879,8669,-36220782
27051,14037,5763,14721,32726,22077,30313,25628,46781084
584,28060,13703,2773,21708,24524,19002,5651,-1903084113
9751,3635,14961,31528,16075,12252,17439,23720,-1793104933
23310,1787,16608,13930,7143,31990,24454,27636,-1363561060
14127,21019,16421,12377,12047,19780,30856,5575,-1642521300
8483,24704,18952,19348,14246,15698,23816,22819,-2319655212
26932,6397,11474,6994,1294,6757,7383,22129,-495754548
26483,4280,32237,27217,30924,3804,4678,21368,140564473
13458,1264,21044,11474,4032,19396,13999,29202,-1199845445
7812,2945,26230,1292,17038,27041,30835,7096,-1529058929
14903,31240,30660,24279,30172,855,12273,12214,-499838882
26646,14604,10096,27509,3800,16908,10321,30845,-2196785933
7946,13123,223,23767,9316,24249,12943,32763,-2051561384
30792,25828,24098,27180,26999,21254,8419,12853,-539662215
23648,32141,19327,15393,16286,14363,19475,12513,-1291085296
10949,648,21362,19045,27369,7893,17431,10368,-550560979
30212,25713,1815,1105,22746,15970,15815,9813,473999483
20705,25319,31079,30142,19279,21808,24124,5919,-2162329133
6715,10817,30554,3813,18350,9558,25093,27047,-1700026575
20766,28391,7122,6641,2499,14668,17146,26189,-1321180838
10380,24302,13886,17290,12680,29022,27233,32696,-3034313849
6571,29563,31016,431,4387,18243,165,384,-1031575112
26709,3021,32264,9113,31947,24076,5953,8045,1030287512
16978,5656,3174,25535,5611,2783,12962,12035,-537880348
5150,8966,17198,32162,5624,13621,8443,7619,-966824697
7924,12113,5306,13505,3473,6505,23780,4532,-477340186
1493,13161,17751,25181,2785,12945,14625,18648,-1790813005
23115,16365,29154,11902,29360,17382,8152,7475,135110131
11139,4784,19446,11179,23794,30574,14662,1929,-375840761
23553,26813,23361,3346,26865,1687,17568,19512,223597683
21848,14579,26810,10608,26437,28166,32218,11796,-1643900720
17054,27879,3434,31289,31011,3135,4340,24948,-708105214
15275,1994,30034,11147,22225,744,9077,10030,-92885228
24682,18473,10962,22268,23389,5070,16384,20390,-300069644
5263,2211,19265,20311,2510,32368,21304,207,-945978431
31162,24244,20724,27648,6899,1450,25610,14522,-1504850673
7234,14539,16735,6630,1596,9123,21994,23328,-1287699035
9931,19012,29901,28409,9326,1378,23932,12386,-2002143139
14751,25219,6180,16312,7577,13626,22416,18149,-1332932940
25454,25303,202,28910,22235,2455,532,22175,-274703864
32192,9731,25365,24551,20613,32060,2070,2334,483542636
20947,28861,21702,4351,12921,4376,446,9406,187484118
26736,23475,1596,3567,19627,25766,22615,11471,-314278009
24602,9124,25102,20294,2661,6776,14978,22924,-1675169499
17579,7740,3772,3745,22582,13587,16762,5274,417618651
32626,12195,5513,6068,6474,17304,19644,25181,-521845455
6893,28954,30238,14119,28477,2492,24624,28266,-2039096927
18881,5404,7075,10347,900,26576,3389,7488,-456216838
16792,21747,11929,28131,3798,29237,1705,12392,-1881999667
18176,8161,21987,29027,11874,21101,454,22275,-1225926711
3971,18760,16991,10672,27187,22841,1099,11173,-916916876
29696,19918,30151,4618,15721,6930,5038,30993,67541603
24153,19189,29860,32123,24977,14848,18634,17615,-1607842495
12067,17626,22801,9818,29586,11151,6823,19727,-377577663
18090,3465,31054,23781,25079,3690,11109,30922,-1278927128
26831,12475,6430,6996,7927,20270,32043,20967,-785856193
28435,3608,7926,1066,25314,13058,21313,10762,984540160
9920,4452,28703,20154,32141,27695,32454,23787,-2430795066
32492,15829,24953,7506,382,22140,12335,17961,-1561329872
22186,18550,18239,18845,29572,0,8825,9910,616768841
7433,18641,17745,18506,25465,722,630,14509,-207766861
18225,24810,22558,7272,5713,150,8712,9140,-325218422
4370,17330,9410,18612,26554,23623,5485,16287,-1296206621
24413,19120,12502,19913,18568,345,22729,3193,197893645
13092,5721,18876,20078,20188,17597,11879,22055,-1006876958
9223,11954,16317,32044,7174,27746,29543,27749,-3273550938
21162,25889,15213,21213,23512,6215,25438,16552,-802938866
331,5563,23177,23343,16525,21790,666,15666,-993766895
7700,9904,4979,29145,28083,27059,397,2639,-261314218
22482,19625,20007,2447,14241,17456,13393,32030,-737516841
10559,26906,11354,6583,30312,9142,21225,18744,-580631425
3339,4878,14649,15285,11146,23411,22524,27100,-1642347368
8889,20495,21132,12630,12488,25892,32465,27487,-2905744764
1811,27476,31823,13575,16234,18192,10307,28585,-2372995049
17929,21931,7919,24557,20634,26283,151,25540,-1669737092
20344,21352,10523,12242,16957,29051,25545,17457,-1515696899
26117,10442,22675,16161,24846,13075,10241,15832,48567347
8335,23125,12994,8961,6286,18471,23920,28249,-1877460455
23202,29052,5473,16739,28743,27077,29846,9550,-885952324
12395,7591,11650,1334,15943,7574,5683,848,145546732
13785,29703,15712,27091,20360,20296,9222,23442,-2204343587
31510,25418,32552,10156,5574,18023,25098,3518,-2270413553
15656,9710,18726,502,10062,24724,11881,20103,-630259906
2907,12929,32005,19389,2978,31399,23350,12272,-2765123865
11059,234,28472,24382,25653,23618,10677,7625,-423487084
6868,25865,4941,30196,3050,17534,21913,14315,-1946213032
13933,8760,15223,3230,6571,16589,5059,8851,-318771386
7464,3741,9660,10521,17768,25321,17627,30729,-911379239
17889,6393,11156,404,6588,7895,28019,25100,-510713288
6899,5312,7917,29123,1785,8342,25778,13309,-1247414769
16488,32290,30193,16223,29972,4048,20230,2281,-568726849
32450,20445,18040,8967,2456,29301,20085,30957,-2318614565
31894,4570,9670,15127,21431,11813,16468,7726,706797497
20250,11378,23400,643,24803,31508,4818,13779,44292663
30648,26514,20103,30695,7674,3613,24116,30297,-2550771206
6300,24329,29084,16535,23222,27036,23827,4160,-2546523239
11026,14491,31469,25165,25849,10540,14614,5171,-915508169
5378,22335,24505,15018,5285,26658,27177,2035,-2527049923
21449,30271,20101,11218,25319,32549,21344,20107,-2193655826
20525,9365,21032,27231,25899,9531,21717,20922,-1168356966
1965,10342,15084,16320,22371,12776,17896,11145,-1080013267
7672,449,23348,7072,27436,30159,23390,2673,-736175375
20685,22047,12625,9331,31164,21613,12374,15154,-259011389
30563,27815,12013,12519,25033,9199,16609,2084,567195501
10245,2715,17576,11555,10252,14396,17597,3502,-567649814
13821,20918,5559,12525,30873,23218,30987,31299,-1246535430
16190,13154,10352,11700,17264,28176,11833,17186,-829407687
32399,15352,22989,8316,22603,17413,28706,10893,-571070109
499,2913,16094,25891,10058,27525,2951,26782,-1632168145
29218,15745,11500,2594,21871,1948,15995,15439,768680982
24370,9075,14015,16180,2770,9662,10701,27115,-1217804578
142,21217,23268,26375,20893,23879,31543,15778,-3307570079
16522,18547,20449,21705,11655,609,10569,15534,-744064320
10357,20350,894,22001,13239,14330,3331,11244,-809734244
7895,30,28871,29875,6314,10270,1630,13367,-793723426
5121,5190,13299,9452,10677,13506,15052,6265,-549647392
22116,13876,24736,12774,26623,7415,26495,31663,-1147918680
32045,22258,7263,28077,27316,10575,18777,18093,-8865842
3932,31938,26033,5727,20765,12677,22407,31677,-2175950952
19694,30864,3037,5716,23902,27407,12887,15554,-1006441541
32076,5569,20666,20869,27643,26741,29740,12546,-277391498
15549,19043,563,17197,8495,12735,3651,24956,-1083342349
22033,10792,3234,20873,27464,3928,2406,27624,-43317026
12692,23310,11176,7848,28488,6881,28620,9946,-393519461
26404,13098,3951,23114,29054,14309,28177,19536,33654085
918,22174,5608,31176,12261,1182,10249,5287,-474536699
25166,10753,27570,28328,29046,18653,32688,9099,-1257183559
18867,20090,26501,11695,24526,9686,6469,6845,33254963
25390,6735,191,24851,16929,28196,7584,21331,-583267595
6077,11427,25750,12324,24820,19948,23760,14507,-1735485249
24846,16092,32068,2060,10825,26106,1162,20498,-461275271
19766,17674,6285,1860,12095,13278,12120,10971,-184384369
5322,29811,11378,13975,7533,4481,4468,15186,-713148514
13297,23912,30126,13727,10766,14232,10857,20697,-1616729914
29949,27513,21761,28755,23565,7599,5357,14160,-54175395
11054,6051,26649,27634,13423,18367,8639,25530,-1796984221
25778,17163,1223,31543,26800,18839,4063,12247,-47541958
29856,7152,10695,10835,25438,7714,5812,23890,766555938
24969,7380,1283,12256,13701,15903,30708,32271,-420374245
29343,25218,27072,31417,16850,21480,30996,12858,-2580696982
12439,1968,9551,26502,1756,18775,28597,27062,-2010915802
879,32114,12959,12434,2185,21363,21266,13607,-2257860185
31846,8574,14025,6164,3158,31910,6558,26127,-852132478
20150,8943,7253,31270,9504,31159,23167,3701,-741824519
18197,12625,3187,21497,10090,9321,21285,20169,-870975001
4266,26889,6102,27318,15886,11769,31392,13246,-1604214846
1067,26296,19068,26254,22621,7585,4972,19330,-1555256657
31802,25447,25137,10569,2173,16794,20111,20288,-2156450581
2976,12383,7381,556,5667,22136,29062,22930,-969037787
23081,22016,30093,21915,20717,3709,15100,21110,-1041062519
23861,10712,2414,3182,21408,25767,2922,16070,353193642
23095,4580,4343,11957,24586,6628,8276,28853,312998276
26532,11070,29614,8176,31999,26045,155,9107,963237292
28445,25071,30598,5637,31874,22624,30005,24592,-1434578238
23608,6179,10054,29493,16263,29708,2228,8744,-159860925
1310,8337,3311,27550,31366,3345,5160,23506,-1302977289
17540,27744,3589,20336,19505,4144,23818,5377,64601511
30564,13494,20815,6683,24497,30511,27132,10382,-594278520
20272,8671,11115,8437,28767,20961,22664,16844,14736693
26175,3062,32391,30304,24398,24146,1580,5658,684059278
23793,16849,4910,20206,19772,25411,19196,15745,-740260818
23218,27555,10905,16590,15532,10146,20591,20981,-983171604
18228,22560,14971,17093,25362,10297,14803,30163,-1014415657
6594,30501,5909,103,9513,2939,28693,21864,-397459270
2016,13459,4798,2575,28975,28631,11986,22777,-886219287
13974,19528,30537,18926,27499,14315,20794,13313,-1564474498
20676,5797,9153,28010,8220,14639,10490,19747,-1128102218
9684,23880,31488,1018,4085,18695,1221,13286,-917728461
21789,29988,20903,21306,8401,23195,27011,9786,-2571290139
17935,5278,279,12600,1365,6248,25165,9894,-280410484
23282,22346,16610,8435,25249,32464,3429,16512,-667704379
24980,28058,4902,1277,5319,23633,25557,23565,-1371235703
30962,24844,18362,21340,6028,28282,25248,9700,-2373221054
18095,11520,16725,31669,21816,16156,12161,25511,-1605345003
20414,20586,28907,16606,21321,14732,5610,27199,-963739511
6620,20523,11361,5685,30342,1479,15046,4527,-52378327
29108,14871,11392,17203,10219,8026,32141,16515,-944326539
31133,5559,20235,15747,19731,18472,16474,23697,-389831830
24541,5416,8828,19910,11593,14573,20966,7659,-264036678
8588,3850,9102,2372,32306,23528,10774,1694,169552534
540,15403,25928,32434,1568,30171,477,14670,-1904132259
24405,31133,23414,11948,3611,6012,1176,17025,-660035142
16351,13856,15853,30103,938,26166,30508,15173,-2575257570
16026,16232,16659,32434,30275,26058,25192,25605,-2375886349
5068,25480,14334,15962,5147,9325,1093,14808,-927131489
27601,31331,8650,27143,28972,21021,24166,549,-165836155
24893,16331,22901,7680,19349,20660,11439,18263,-515972036
8039,9678,28920,16557,26686,5037,22415,4300,-1107330838
8504,4408,6019,8268,3886,24903,20462,3829,-463103797
26568,13323,21403,1816,26252,5330,9752,5875,814102047
17372,5027,18264,2384,11696,1753,411,10530,323512335
1871,19854,27270,6933,15154,28608,25581,14488,-2675357819
1002,27879,11594,1104,28046,6594,26905,20976,-981689800
2468,6544,24038,24430,7037,7119,31422,17848,-2441157282
12647,31077,18402,30408,22799,18674,16985,22004,-2547329706
1846,22352,25564,3834,12424,22448,31301,1144,-2566797825
9842,22809,17962,22206,6673,8514,10948,29489,-1960055691
13999,25941,21352,17560,15079,124,22627,20970,-1287011842
31801,14681,6075,11383,5149,30258,12475,1190,-739665966
3051,24614,4114,9640,4717,11392,19260,13565,-952067733
2002,31585,21070,32013,22274,10973,26545,19834,-2992521030
23170,12914,3685,8618,29104,4136,5515,13160,974346924
10034,12526,25208,5210,11850,30554,30540,19518,-2270765488
17848,23620,6367,20579,4638,9628,20589,2384,-649618801
14485,21974,29935,31490,28581,10430,8668,13111,-975117444
26499,30774,814,21729,20564,12578,22176,1063,233369945
26203,16643,11863,3085,1601,18357,30060,30267,-1427098391
20183,31592,20649,11037,4185,32554,29915,31582,-3820575777
18886,16833,4902,14891,9308,11156,19836,16104,-698117982
16728,24295,13607,21934,8500,422,6242,13238,-486758852
20733,4288,16221,17336,8821,28381,32479,21463,-1675513256
5942,16608,22151,11470,24605,4500,24931,23366,-1497606443
22062,22619,20195,4412,17289,11403,6184,15297,-137782085
28896,8759,32381,31921,19894,18486,5859,1598,344390274
6808,14924,12299,20677,2821,12632,30597,4096,-1260673542
24306,69,16292,21190,19840,11184,32192,14831,-714585316
18081,10919,12282,29446,22554,18023,5555,1794,179890294
1233,27934,1295,196,25471,29603,27185,2065,-1662324640
19156,4796,5213,9041,30503,14821,4026,29822,445209304
7905,14100,31261,28351,21903,15824,25464,13458,-2455138110
3047,28171,26188,8858,19804,22723,3554,28931,-1858295036
9300,18235,3849,10693,22540,5675,1100,3583,127146753
30890,164,4906,8533,22055,21004,24210,16232,841059632
12335,18432,578,26021,95,15948,13735,24833,-1893831713
21254,18942,7748,2295,2356,28830,30447,3722,-1480941166
20955,24863,22484,13147,17490,28066,10986,23554,-1775995665
22506,13362,4951,14643,23949,12694,2162,1036,686965961
16352,24863,3870,14714,3814,13173,16527,11414,-994165359
25574,2768,32150,22584,10215,20823,2513,23753,-827289458
12029,23470,12293,4458,689,8526,32021,9091,-1252011801
19992,7555,10329,17136,6774,25552,13459,32243,-1498334354
5787,32269,8083,19459,2689,26269,17058,16208,-2570788472
14178,21362,1930,15585,13660,22606,6782,21865,-1286219474
29864,2497,27258,32748,18774,26450,28909,11868,-1364123004
2540,24215,22158,7539,20300,28126,11841,22815,-2127797748
31054,11548,11615,4551,28535,24429,29147,22535,325807790
17286,6231,15464,8274,11162,7414,5305,9415,-26393309
9280,15203,11024,15888,29824,19794,4184,21418,-821184015
23937,17596,30684,2771,22435,13743,6475,31085,20752452
22829,8501,13026,21531,967,6645,9791,14062,-929450664
31235,9820,5619,30620,11056,8606,1474,32689,-1496837471
29172,48,9373,9088,12781,22437,7792,29874,54448571
31808,23389,15153,10206,32196,9870,2587,31889,857134904
32436,12052,28139,14416,14347,26410,20971,9744,-1167024473
4735,22202,19343,18980,32122,28931,23215,14778,-2439571438
11670,17290,29076,3124,23054,6786,29575,30688,-1608186039
16324,20118,545,4096,20831,19095,5803,13593,-205941441
25218,16925,27953,5006,16833,26859,13540,20630,-1023746692
8460,7541,18028,26714,22034,22559,25311,6826,-1244767505
16864,418,19119,30589,2455,27618,26032,7966,-1423080541
25732,260,8246,641,8611,10890,22301,13110,52851781
24253,25246,4115,28076,7049,8050,23554,28724,-1871330147
24282,22714,24401,705,22655,19422,25408,14725,-1042850832
15110,30077,21393,25881,13494,5378,11993,5671,-722431613
28662,24577,2869,9001,3278,5936,32729,23583,-716230795
2466,4917,6939,4844,29008,28705,17395,16861,-543980527
23439,10855,18361,21645,25790,26875,6923,28803,-875632781
17609,28002,25066,23913,15201,2838,26430,1229,-1007384224
14855,20371,4262,2063,29037,5124,7,9298,615459405
12399,3277,20716,15289,2300,30614,25883,22090,-1891503260
12190,23511,20543,16051,11182,2793,6185,25865,-943180938
14068,20936,3026,17976,29260,23053,6304,9760,-531075967
14100,15840,8157,7294,13335,29655,4933,14603,-856959381
1723,31249,12108,21422,16487,21823,4810,26130,-2543097396
4770,19359,22298,6313,10449,27169,30505,4322,-2367231733
19611,29371,141,12513,10604,23550,15484,15362,-1356313586
1401,31205,3874,5487,32250,27987,6122,26819,-1998104039
18894,15211,11909,28536,20588,18672,12391,25036,-1514075545
12761,10274,22058,28192,22823,3541,31501,30291,-2587929383
3559,18051,2588,4466,23536,22849,22411,18243,-936336275
8366,10011,16039,3940,12451,24403,601,26443,-507933190
20137,2433,13431,324,29121,21096,22838,7553,451741305
10523,31545,28540,29072,23956,31405,24238,26100,-4378253861
15966,14912,2609,21835,4306,16441,13323,7248,-738930954
27465,9444,23804,26965,16939,22616,19757,17760,-1395135648
28157,20341,7507,1181,17656,12544,27856,16859,25876055
14437,14850,24012,18795,17448,2879,22505,1949,-735769255
28708,26319,11575,4190,7266,1404,5857,23032,14649985
29236,7703,28474,30296,8666,21130,14735,4335,-920658649
12367,25165,13422,21068,32303,9512,3724,3870,57173521
13073,18676,25293,24483,30712,22022,6621,14583,-1068589149
11940,26409,15530,23252,29815,28191,3740,30629,-2317583160
14212,7635,9042,12813,28743,16234,27437,15137,-314996701
7670,32113,9088,15311,6486,16668,29380,21994,-2178598260
14232,15914,12303,18902,20555,26592,23780,28627,-1928668405
3290,7704,27670,13810,2616,18078,12665,14185,-1354041716
19995,31713,2580,7949,29722,8291,18964,6584,460180716
5916,25622,29885,25408,15091,9289,9122,19536,-1835466889
12647,31781,4156,24972,5053,66,27377,15963,-901232045
17913,32251,20464,9327,29174,9232,27624,22824,-1106696513
6281,19405,7624,28806,21331,7208,9739,15081,-1029166585
29629,10645,15838,26231,15689,20968,29761,32516,-2165300687
7786,20234,2819,13898,22940,19694,25260,12785,-937588512
26887,30358,28676,1949,22652,18420,24551,1758,-1315246443
26120,16181,26112,16083,9475,7608,19060,16197,-1267638620
25034,8311,8991,5154,23111,28325,2628,28315,347124739
3676,7064,19339,5594,14830,15610,28961,22122,-1479190566
22229,23536,9654,991,2536,16296,30683,645,-1248073846
19094,3239,28135,18976,355,23430,22038,29211,-2486974456
15110,15546,28764,18186,15661,17107,25464,9442,-1866959788
24685,2438,25775,4165,1828,12363,17690,22780,-1071728836
13254,5526,9495,21476,22689,3775,18755,32277,-1182845995
26596,31421,10695,16587,9070,6872,5828,2735,-164830056
25359,22799,28690,12736,18036,26205,3624,4963,-614555788
15793,18239,10750,255,23441,8123,462,19589,424149454
3874,29739,3684,23132,17452,27686,5397,17670,-2368782618
10641,15118,10853,26248,19378,24884,5406,650,-491494902
205,31916,21621,22520,4257,17913,27374,14269,-2968094305
